"Title","Description","Task"
"First-Line Supervisors of Mechanics, Installers, and Repairers","Directly supervise and coordinate the activities of mechanics, installers, and repairers. May also advise customers on recommended services. Excludes team or work leaders.","Inspect, test, and measure completed work, using devices such as hand tools or gauges to verify conformance to standards or repair requirements.; Inspect and monitor work areas, examine tools and equipment, and provide employee safety training to prevent, detect, and correct unsafe conditions or violations of procedures and safety rules.; Interpret specifications, blueprints, or job orders to construct templates and lay out reference points for workers.; Monitor employees' work levels and review work performance.; Perform skilled repair or maintenance operations, using equipment such as hand or power tools, hydraulic presses or shears, or welding equipment.; Compute estimates and actual costs of factors such as materials, labor, or outside contractors.; Monitor tool and part inventories and the condition and maintenance of shops to ensure adequate working conditions.; Requisition materials and supplies, such as tools, equipment, or replacement parts.; Confer with personnel, such as management, engineering, quality control, customer, or union workers' representatives, to coordinate work activities, resolve employee grievances, or identify and review resource needs.; Determine schedules, sequences, and assignments for work activities, based on work priority, quantity of equipment, and skill of personnel.; Examine objects, systems, or facilities and analyze information to determine needed installations, services, or repairs.; Counsel employees about work-related issues and assist employees to correct job-skill deficiencies.; Recommend or initiate personnel actions, such as hires, promotions, transfers, discharges, or disciplinary measures.; Investigate accidents or injuries and prepare reports of findings.; Conduct or arrange for worker training in safety, repair, or maintenance techniques, operational procedures, or equipment use.; Develop, implement, or evaluate maintenance policies and procedures.; Meet with vendors or suppliers to discuss products used in repair work."
"First-Line Supervisors of Non-Retail Sales Workers","Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties.","Monitor sales staff performance to ensure that goals are met.; Provide staff with assistance in performing difficult or complicated duties.; Direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or performing specific services.; Listen to and resolve customer complaints regarding services, products, or personnel.; Keep records pertaining to purchases, sales, and requisitions.; Hire, train, and evaluate personnel.; Confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business.; Plan and prepare work schedules, and assign employees to specific duties.; Attend company meetings to exchange product information and coordinate work activities with other departments."
"First-Line Supervisors of Office and Administrative Support Workers","Directly supervise and coordinate the activities of clerical and administrative support workers.","Supervise the work of office, administrative, or customer service employees to ensure adherence to quality standards, deadlines, and proper procedures, correcting errors or problems.; Resolve customer complaints or answer customers' questions regarding policies and procedures.; Provide employees with guidance in handling difficult or complex problems or in resolving escalated complaints or disputes.; Review records or reports pertaining to activities such as production, payroll, or shipping to verify details, monitor work activities, or evaluate performance.; Discuss job performance problems with employees to identify causes and issues and to work on resolving problems.; Prepare and issue work schedules, deadlines, and duty assignments for office or administrative staff.; Recruit, interview, and select employees.; Interpret and communicate work procedures and company policies to staff.; Evaluate employees' job performance and conformance to regulations and recommend appropriate personnel action.; Train or instruct employees in job duties or company policies or arrange for training to be provided.; Research, compile, and prepare reports, manuals, correspondence, or other information required by management or governmental agencies.; Implement corporate or departmental policies, procedures, and service standards in conjunction with management.; Compute figures such as balances, totals, or commissions.; Coordinate activities with other supervisory personnel or with other work units or departments.; Participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work.; Make recommendations to management concerning such issues as staffing decisions or procedural changes.; Develop or update procedures, policies, or standards.; Maintain records pertaining to inventory, personnel, orders, supplies, or machine maintenance.; Consult with managers or other personnel to resolve problems in areas such as equipment performance, output quality, or work schedules."
"First-Line Supervisors of Personal Service Workers","Supervise and coordinate activities of personal service workers.","Train workers in proper operational procedures and functions and explain company policies.; Meet with managers or other supervisors to stay informed of changes affecting operations.; Assign work schedules, following work requirements, to ensure quality and timely delivery of service.; Recruit and hire staff members.; Resolve customer complaints regarding worker performance or services rendered.; Take disciplinary action to address performance problems.; Inspect work areas or operating equipment to ensure conformance to established standards in areas such as cleanliness or maintenance.; Investigate employee complaints and resolve problems following management rules and regulations.; Observe and evaluate workers' appearance and performance to ensure quality service and compliance with specifications.; Direct or coordinate the activities of workers, such as hotel staff or hair stylists.; Participate in continuing education to stay abreast of industry trends and developments.; Inform management about problems, such as employee disputes.; Arrange worker breaks to ensure services are adequately staffed throughout each shift.; Apply customer feedback to service improvement efforts.; Inform workers about interests or special needs of specific groups.; Requisition necessary supplies, equipment, or services."
"First-Line Supervisors of Police and Detectives","Directly supervise and coordinate activities of members of police force.","Supervise and coordinate the investigation of criminal cases, offering guidance and expertise to investigators, and ensuring that procedures are conducted in accordance with laws and regulations.; Prepare work schedules and assign duties to subordinates.; Direct collection, preparation, and handling of evidence and personal property of prisoners.; Investigate and resolve personnel problems within organization and charges of misconduct against staff.; Explain police operations to subordinates to assist them in performing their job duties.; Maintain logs, prepare reports, and direct the preparation, handling, and maintenance of departmental records.; Inform personnel of changes in regulations and policies, implications of new or amended laws, and new techniques of police work.; Train staff in proper police work procedures.; Discipline staff for violation of department rules and regulations.; Monitor and evaluate the job performance of subordinates, and authorize promotions and transfers.; Review contents of written orders to ensure adherence to legal requirements.; Conduct raids and order detention of witnesses and suspects for questioning.; Cooperate with court personnel and officials from other law enforcement agencies and testify in court, as necessary.; Meet with civic, educational, and community groups to develop community programs and events, and to discuss law enforcement subjects.; Inspect facilities, supplies, vehicles, and equipment to ensure conformance to standards.; Direct release or transfer of prisoners.; Requisition and issue equipment and supplies."
"First-Line Supervisors of Production and Operating Workers","Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders.","Enforce safety and sanitation regulations.; Keep records of employees' attendance and hours worked.; Inspect materials, products, or equipment to detect defects or malfunctions.; Read and analyze charts, work orders, production schedules, and other records and reports to determine production requirements and to evaluate current production estimates and outputs.; Plan and establish work schedules, assignments, and production sequences to meet production goals.; Confer with other supervisors to coordinate operations and activities within or between departments.; Interpret specifications, blueprints, job orders, and company policies and procedures for workers.; Observe work and monitor gauges, dials, and other indicators to ensure that operators conform to production or processing standards.; Direct and coordinate the activities of employees engaged in the production or processing of goods, such as inspectors, machine setters, or fabricators.; Conduct employee training in equipment operations or work and safety procedures, or assign employee training to experienced workers.; Evaluate employee performance.; Confer with management or subordinates to resolve worker problems, complaints, or grievances.; Determine standards, budgets, production goals, and rates, based on company policies, equipment and labor availability, and workloads.; Calculate labor and equipment requirements and production specifications, using standard formulas.; Recommend or implement measures to motivate employees and to improve production methods, equipment performance, product quality, or efficiency.; Maintain operations data, such as time, production, and cost records, and prepare management reports of production results.; Requisition materials, supplies, equipment parts, or repair services.; Set up and adjust machines and equipment.; Recommend or execute personnel actions, such as hirings, evaluations, or promotions.; Plan and develop new products and production processes."
"First-Line Supervisors of Retail Sales Workers","Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.","Provide customer service by greeting and assisting customers and responding to customer inquiries and complaints.; Direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or in performing services for customers.; Examine merchandise to ensure that it is correctly priced and displayed and that it functions as advertised.; Monitor sales activities to ensure that customers receive satisfactory service and quality goods.; Instruct staff on how to handle difficult and complicated sales.; Assign employees to specific duties.; Keep records of purchases, sales, and requisitions.; Perform work activities of subordinates, such as cleaning and organizing shelves and displays and selling merchandise.; Plan and prepare work schedules and keep records of employees' work schedules and time cards.; Review inventory and sales records to prepare reports for management and budget departments.; Inventory stock and reorder when inventory drops to a specified level.; Establish and implement policies, goals, objectives, and procedures for the department.; Examine products purchased for resale or received for storage to assess the condition of each product or item.; Enforce safety, health, and security rules.; Estimate consumer demand and determine the types and amounts of goods to be sold.; Confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business."
"Fish and Game Wardens","Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.","Patrol assigned areas by car, boat, airplane, horse, or on foot to enforce game, fish, or boating laws or to manage wildlife programs, lakes, or land.; Compile and present evidence for court actions.; Investigate hunting accidents or reports of fish or game law violations.; Protect and preserve native wildlife, plants, or ecosystems.; Issue warnings or citations and file reports as necessary.; Serve warrants and make arrests.; Provide assistance to other local law enforcement agencies as required.; Promote or provide hunter or trapper safety training.; Participate in search-and-rescue operations.; Arrange for disposition of fish or game illegally taken or possessed.; Seize equipment used in fish and game law violations.; Address schools, civic groups, sporting clubs, or the media to disseminate information concerning wildlife conservation and regulations.; Recommend revisions in hunting and trapping regulations or in animal management programs so that wildlife balances or habitats can be maintained.; Inspect commercial operations relating to fish or wildlife, recreation, or protected areas.; Survey areas and compile figures of bag counts of hunters to determine the effectiveness of control measures.; Collect and report information on populations or conditions of fish and wildlife in their habitats, availability of game food or cover, or suspected pollution.; Design or implement control measures to prevent or counteract damage caused by wildlife or people.; Provide advice or information to park or reserve visitors.; Investigate crop, property, or habitat damage or destruction or instances of water pollution to determine causes and to advise property owners of preventive measures.; Issue licenses, permits, or other documentation."
"Fishing and Hunting Workers","Hunt, trap, catch, or gather wild animals or aquatic animals and plants. May use nets, traps, or other equipment. May haul catch onto ship or other vessel.","Patrol trap lines or nets to inspect settings, remove catch, and reset or relocate traps.; Obtain permission from landowners to hunt or trap on their land.; Travel on foot, by vehicle, or by equipment such as boats, snowmobiles, helicopters, snowshoes, or skis to reach hunting areas.; Steer vessels and operate navigational instruments.; Skin quarry, using knives, and stretch pelts on frames to be cured.; Maintain and repair trapping equipment.; Scrape fat, blubber, or flesh from skin sides of pelts with knives or hand scrapers.; Put fishing equipment into the water and anchor or tow equipment, according to the fishing method used.; Maintain engines, fishing gear, and other on-board equipment and perform minor repairs.; Sort, pack, and store catch in holds with salt and ice.; Remove catches from fishing equipment and measure them to ensure compliance with legal size.; Locate fish, using fish-finding equipment.; Obtain required approvals for using poisons or traps, and notify persons in areas where traps and poison are set.; Track animals by checking for signs such as droppings or destruction of vegetation.; Compute positions and plot courses on charts to navigate vessels, using instruments such as compasses, sextants, and charts.; Select, bait, and set traps, and lay poison along trails, according to species, size, habits, and environs of birds or animals and reasons for trapping them.; Attach nets, slings, hooks, blades, or lifting devices to cables, booms, hoists, or dredges.; Participate in animal damage control, wildlife management, disease control, and research activities.; Transport fish to processing plants or to buyers.; Interpret weather and vessel conditions to determine appropriate responses.; Release quarry from traps or nets and transfer to cages.; Kill or stun trapped quarry, using clubs, poisons, guns, or drowning methods.; Wash and sort pelts according to species, color, and quality.; Wash decks, conveyors, knives, and other equipment, using brushes, detergents, and water.; Connect accessories such as floats, weights, flags, lights, or markers to nets, lines, or traps.; Teach or guide individuals or groups unfamiliar with specific hunting methods or types of prey.; Load and unload vessel equipment and supplies, by hand or using hoisting equipment."
"Fitness and Wellness Coordinators","Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.","Maintain wellness- and fitness-related schedules, records, or reports.; Develop or coordinate fitness and wellness programs or services.; Recommend or approve new program or service offerings to promote wellness and fitness, produce revenues, or minimize costs.; Manage or oversee fitness or recreation facilities, ensuring safe and clean facilities and equipment.; Supervise fitness or wellness specialists, such as fitness instructors, nutritionists, or health educators.; Track attendance, participation, or performance data related to wellness events.; Conduct or facilitate training sessions or seminars for wellness and fitness staff.; Maintain or arrange for maintenance of fitness equipment or facilities.; Prepare or implement budgets and strategic, operational, purchasing, or maintenance plans.; Evaluate fitness and wellness programs to determine their effectiveness.; Develop fitness or wellness classes, such as yoga, aerobics, strength training, or aquatics, ensuring a diversity of class offerings.; Demonstrate proper operation of fitness equipment, such as resistance machines, cardio machines, free weights, or fitness assessment devices.; Conduct needs assessments or surveys to determine interest in, or satisfaction with, wellness and fitness programs, events, or services.; Teach fitness classes to improve strength, flexibility, cardiovascular conditioning, or general fitness of participants.; Develop marketing campaigns to promote a healthy lifestyle or participation in fitness or wellness programs.; Select or supervise contractors, such as event hosts or health, fitness, and wellness practitioners.; Track cost-containment strategies and programs to evaluate effectiveness.; Provide individual support or counseling in general wellness or nutrition.; Use computer skills and software to manage Web sites or databases, publish newsletters, or provide webinars.; Respond to customer, public, or media requests for information about wellness programs or services.; Organize and oversee fitness or wellness programs, such as information presentations, blood drives, or training in first aid or cardiopulmonary resuscitation (CPR).; Organize and oversee events such as organized runs or walks."
"Flight Attendants","Monitor safety of the aircraft cabin. Provide services to airline passengers, explain safety information, serve food and beverages, and respond to emergency incidents.","Verify that first aid kits and other emergency equipment, including fire extinguishers and oxygen bottles, are in working order.; Announce and demonstrate safety and emergency procedures, such as the use of oxygen masks, seat belts, and life jackets.; Monitor passenger behavior to identify threats to the safety of the crew and other passengers.; Walk aisles of planes to verify that passengers have complied with federal regulations prior to takeoffs and landings.; Direct and assist passengers in emergency procedures, such as evacuating a plane following an emergency landing.; Prepare passengers and aircraft for landing, following procedures.; Administer first aid to passengers in distress.; Determine special assistance needs of passengers, such as small children, the elderly, or persons with disabilities.; Attend preflight briefings concerning weather, altitudes, routes, emergency procedures, crew coordination, lengths of flights, food and beverage services offered, and numbers of passengers.; Reassure passengers when situations, such as turbulence, are encountered.; Check to ensure that food, beverages, blankets, reading material, emergency equipment, and other supplies are aboard and are in adequate supply.; Prepare reports showing places of departure and destination, passenger ticket numbers, meal and beverage inventories, the conditions of cabin equipment, and any problems encountered by passengers.; Announce flight delays and descent preparations.; Greet passengers boarding aircraft and direct them to assigned seats.; Assist passengers entering or disembarking the aircraft.; Conduct periodic trips through the cabin to ensure passenger comfort and to distribute reading material, headphones, pillows, playing cards, and blankets.; Inspect and clean cabins, checking for any problems and making sure that cabins are in order.; Operate audio and video systems.; Answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.; Collect money for meals and beverages.; Heat and serve prepared foods.; Inspect passenger tickets to verify information and to obtain destination information.; Assist passengers in placing carry-on luggage in overhead, garment, or under-seat storage."
"Floor Layers, Except Carpet, Wood, and Hard Tiles","Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors.","Sweep, scrape, sand, or chip dirt and irregularities to clean base surfaces, correcting imperfections that may show through the covering.; Cut flooring material to fit around obstructions.; Inspect surface to be covered to ensure that it is firm and dry.; Trim excess covering materials, tack edges, and join sections of covering material to form tight joint.; Form a smooth foundation by stapling plywood or Masonite over the floor or by brushing waterproof compound onto surface and filling cracks with plaster, putty, or grout to seal pores.; Measure and mark guidelines on surfaces or foundations, using chalk lines and dividers.; Cut covering and foundation materials, according to blueprints and sketches.; Roll and press sheet wall and floor covering into cement base to smooth and finish surface, using hand roller.; Apply adhesive cement to floor or wall material to join and adhere foundation material.; Determine traffic areas and decide location of seams.; Lay out, position, and apply shock-absorbing, sound-deadening, or decorative coverings to floors, walls, and cabinets, following guidelines to keep courses straight and create designs.; Remove excess cement to clean finished surface.; Disconnect and remove appliances, light fixtures, and worn floor and wall covering from floors, walls, and cabinets."
"Floor Sanders and Finishers","Scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish.","Buff and vacuum floors to ensure their cleanliness prior to the application of finish.; Scrape and sand floor edges and areas inaccessible to floor sanders, using scrapers, disk-type sanders, and sandpaper.; Inspect floors for smoothness.; Attach sandpaper to rollers of sanding machines.; Guide sanding machines over surfaces of floors until surfaces are smooth.; Apply filler compound and coats of finish to floors to seal wood.; Remove excess glue from joints, using knives, scrapers, or wood chisels."
"Floral Designers","Design, cut, and arrange live, dried, or artificial flowers and foliage.","Confer with clients regarding price and type of arrangement desired and the date, time, and place of delivery.; Select flora and foliage for arrangements, working with numerous combinations to synthesize and develop new creations.; Order and purchase flowers and supplies from wholesalers and growers.; Deliver arrangements to customers, or oversee employees responsible for deliveries.; Plan arrangement according to client's requirements, using knowledge of design and properties of materials, or select appropriate standard design pattern.; Water plants, and cut, condition, and clean flowers and foliage for storage.; Trim material and arrange bouquets, wreaths, terrariums, and other items, using trimmers, shapers, wire, pins, floral tape, foam, and other materials.; Wrap and price completed arrangements.; Perform office and retail service duties, such as keeping financial records, serving customers, answering telephones, selling giftware items, and receiving payment.; Unpack stock as it comes into the shop.; Create and change in-store and window displays, designs, and looks to enhance a shop's image.; Inform customers about the care, maintenance, and handling of various flowers and foliage, indoor plants, and other items.; Perform general cleaning duties in the store to ensure the shop is clean and tidy.; Decorate, or supervise the decoration of, buildings, halls, churches, or other facilities for parties, weddings and other occasions."
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.","Observe, feel, taste, or otherwise examine products during and after processing to ensure conformance to standards.; Set temperature and time controls, light ovens, burners, driers, or roasters, and start equipment, such as conveyors, cylinders, blowers, driers, or pumps.; Observe temperature, humidity, pressure gauges, and product samples and adjust controls, such as thermostats and valves, to maintain prescribed operating conditions for specific stages.; Observe flow of materials and listen for machine malfunctions, such as jamming or spillage, and notify supervisors if corrective actions fail.; Record production data, such as weight and amount of product processed, type of product, and time and temperature of processing.; Weigh or measure products, using scale hoppers or scale conveyors.; Operate or tend equipment that roasts, bakes, dries, or cures food items such as cocoa and coffee beans, grains, nuts, and bakery products.; Signal coworkers to synchronize flow of materials.; Read work orders to determine quantities and types of products to be baked, dried, or roasted.; Fill or remove product from trays, carts, hoppers, or equipment, using scoops, peels, or shovels, or by hand."
"Food Batchmakers","Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.","Record production and test data for each food product batch, such as the ingredients used, temperature, test results, and time cycle.; Clean and sterilize vats and factory processing areas.; Set up, operate, and tend equipment that cooks, mixes, blends, or processes ingredients in the manufacturing of food products, according to formulas or recipes.; Mix or blend ingredients, according to recipes, using a paddle or an agitator, or by controlling vats that heat and mix ingredients.; Follow recipes to produce food products of specified flavor, texture, clarity, bouquet, or color.; Give directions to other workers who are assisting in the batchmaking process.; Select and measure or weigh ingredients, using English or metric measures and balance scales.; Press switches and turn knobs to start, adjust, and regulate equipment, such as beaters, extruders, discharge pipes, and salt pumps.; Determine mixing sequences, based on knowledge of temperature effects and of the solubility of specific ingredients.; Observe and listen to equipment to detect possible malfunctions, such as leaks or plugging, and report malfunctions or undesirable tastes to supervisors.; Observe gauges and thermometers to determine if the mixing chamber temperature is within specified limits, and turn valves to control the temperature.; Turn valve controls to start equipment and to adjust operation to maintain product quality.; Modify cooking and forming operations based on the results of sampling processes, adjusting time cycles and ingredients to achieve desired qualities, such as firmness or texture.; Examine, feel, and taste product samples during production to evaluate quality, color, texture, flavor, and bouquet, and document the results."
"Food Cooking Machine Operators and Tenders","Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.","Clean, wash, and sterilize equipment and cooking area, using water hoses, cleaning or sterilizing solutions, or rinses.; Read work orders, recipes, or formulas to determine cooking times and temperatures, and ingredient specifications.; Observe gauges, dials, and product characteristics, and adjust controls to maintain appropriate temperature, pressure, and flow of ingredients.; Measure or weigh ingredients, using scales or measuring containers.; Tend or operate and control equipment, such as kettles, cookers, vats and tanks, and boilers, to cook ingredients or prepare products for further processing.; Record production and test data, such as processing steps, temperature and steam readings, cooking time, batches processed, and test results.; Set temperature, pressure, and time controls, and start conveyers, machines, or pumps.; Remove cooked material or products from equipment.; Collect and examine product samples during production to test them for quality, color, content, consistency, viscosity, acidity, or specific gravity.; Pour, dump, or load prescribed quantities of ingredients or products into cooking equipment, manually or using a hoist.; Listen for malfunction alarms, and shut down equipment and notify supervisors when necessary.; Notify or signal other workers to operate equipment or when processing is complete.; Turn valves or start pumps to add ingredients or drain products from equipment and to transfer products for storage, cooling, or further processing.; Admit required amounts of water, steam, cooking oils, or compressed air into equipment, such as by opening water valves to cool mixtures to the desired consistency."
"Food Preparation Workers","Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.","Clean and sanitize work areas, equipment, utensils, dishes, or silverware.; Assist cooks and kitchen staff with various tasks as needed, and provide cooks with needed items.; Take and record temperature of food and food storage areas, such as refrigerators and freezers.; Carry food supplies, equipment, and utensils to and from storage and work areas.; Remove trash and clean kitchen garbage containers.; Store food in designated containers and storage areas to prevent spoilage.; Weigh or measure ingredients.; Vacuum dining area and sweep and mop kitchen floor.; Inform supervisors when equipment is not working properly and when food and supplies are getting low, and order needed items.; Wash, peel, and cut various foods, such as fruits and vegetables, to prepare for cooking or serving.; Prepare a variety of foods, such as meats, vegetables, or desserts, according to customers' orders or supervisors' instructions, following approved procedures.; Assemble meal trays with foods in accordance with patients' diets.; Stock cupboards and refrigerators, and tend salad bars and buffet meals.; Use manual or electric appliances to clean, peel, slice, and trim foods.; Load dishes, glasses, and tableware into dishwashing machines.; Portion and wrap food, or place it directly on plates for service to patrons.; Add cutlery, napkins, food, and other items to trays on assembly lines in hospitals, cafeterias, airline kitchens, and similar establishments.; Place food trays over food warmers for immediate service, or store them in refrigerated storage cabinets.; Prepare and serve a variety of beverages, such as coffee, tea, and soft drinks.; Mix ingredients for green salads, molded fruit salads, vegetable salads, and pasta salads.; Receive and store food supplies, equipment, and utensils in refrigerators, cupboards, and other storage areas.; Stir and strain soups and sauces.; Make special dressings and sauces as condiments for sandwiches.; Scrape leftovers from dishes into garbage containers."
"Food Science Technicians","Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods.","Taste or smell foods or beverages to ensure that flavors meet specifications or to select samples with specific characteristics.; Measure, test, or weigh bottles, cans, or other containers to ensure that hardness, strength, or dimensions meet specifications.; Maintain records of testing results or other documents as required by state or other governing agencies.; Monitor and control temperature of products.; Analyze test results to classify products or compare results with standard tables.; Record or compile test results or prepare graphs, charts, or reports.; Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.; Examine chemical or biological samples to identify cell structures or to locate bacteria or extraneous material, using a microscope.; Conduct standardized tests on food, beverages, additives, or preservatives to ensure compliance with standards and regulations regarding factors such as color, texture, or nutrients.; Train newly hired laboratory personnel.; Provide assistance to food scientists or technologists in research and development, production technology, or quality control.; Supervise other food science technicians.; Compute moisture or salt content, percentages of ingredients, formulas, or other product factors, using mathematical and chemical procedures.; Order supplies needed to maintain inventories in laboratories or in storage facilities of food or beverage processing plants."
"Food Scientists and Technologists","Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.","Inspect food processing areas to ensure compliance with government regulations and standards for sanitation, safety, quality, and waste management.; Check raw ingredients for maturity or stability for processing, and finished products for safety, quality, and nutritional value.; Develop new or improved ways of preserving, processing, packaging, storing, and delivering foods, using knowledge of chemistry, microbiology, and other sciences.; Test new products for flavor, texture, color, nutritional content, and adherence to government and industry standards.; Stay up to date on new regulations and current events regarding food science by reviewing scientific literature.; Evaluate food processing and storage operations and assist in the development of quality assurance programs for such operations.; Confer with process engineers, plant operators, flavor experts, and packaging and marketing specialists to resolve problems in product development.; Study the structure and composition of food or the changes foods undergo in storage and processing.; Seek substitutes for harmful or undesirable additives, such as nitrites.; Study methods to improve aspects of foods, such as chemical composition, flavor, color, texture, nutritional value, and convenience.; Develop food standards and production specifications, safety and sanitary regulations, and waste management and water supply specifications.; Develop new food items for production, based on consumer feedback.; Demonstrate products to clients."
"Food Servers, Nonrestaurant","Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.","Place food servings on plates or trays according to orders or instructions.; Clean or sterilize dishes, kitchen utensils, equipment, or facilities.; Monitor food distribution, ensuring that meals are delivered to the correct recipients and that guidelines, such as those for special diets, are followed.; Examine trays to ensure that they contain required items.; Load trays with accessories, such as eating utensils, napkins, or condiments.; Take food orders and relay orders to kitchens or serving counters so they can be filled.; Monitor food preparation or serving techniques to ensure that proper procedures are followed.; Remove trays and stack dishes for return to kitchen after meals are finished.; Carry food, silverware, or linen on trays or use carts to carry trays.; Record amounts and types of special food items served to customers.; Stock service stations with items, such as ice, napkins, or straws.; Prepare food items, such as sandwiches, salads, soups, or beverages.; Determine where patients or patrons would like to eat their meals and help them get situated."
"Food Service Managers","Plan, direct, or coordinate activities of an organization or department that serves food and beverages.","Keep records required by government agencies regarding sanitation or food subsidies.; Investigate and resolve complaints regarding food quality, service, or accommodations.; Maintain food and equipment inventories, and keep inventory records.; Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner.; Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity.; Coordinate assignments of cooking personnel to ensure economical use of food and timely preparation.; Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities.; Count money and make bank deposits.; Establish standards for personnel performance and customer service.; Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary.; Greet guests, escort them to their seats, and present them with menus and wine lists.; Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.; Schedule staff hours and assign duties.; Arrange for equipment maintenance and repairs, and coordinate a variety of services, such as waste removal and pest control.; Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.; Organize and direct worker training programs, resolve personnel problems, hire new staff, and evaluate employee performance in dining and lodging facilities.; Review work procedures and operational problems to determine ways to improve service, performance, or safety.; Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.; Order and purchase equipment and supplies.; Record the number, type, and cost of items sold to determine which items may be unpopular or less profitable."
"Foreign Language and Literature Teachers, Postsecondary","Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Prepare course materials, such as syllabi, homework assignments, and handouts.; Maintain student attendance records, grades, and other required records.; Evaluate and grade students' class work, assignments, and papers.; Initiate, facilitate, and moderate classroom discussions.; Prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.; Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media.; Keep abreast of developments in their field by reading current literature, talking with colleagues, and participating in professional organizations and activities.; Compile, administer, and grade examinations, or assign this work to others.; Maintain regularly scheduled office hours to advise and assist students.; Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.; Select and obtain materials and supplies, such as textbooks.; Advise students on academic and vocational curricula and on career issues.; Write letters of recommendation for students.; Collaborate with colleagues to address teaching and research issues.; Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.; Perform administrative duties, such as serving as department head.; Organize and direct study abroad programs.; Participate in student recruitment, registration, and placement activities.; Compile bibliographies of specialized materials for outside reading assignments.; Participate in campus and community events."
"Forensic Science Technicians","Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.","Collect evidence from crime scenes, storing it in conditions that preserve its integrity.; Keep records and prepare reports detailing findings, investigative methods, and laboratory techniques.; Use photographic or video equipment to document evidence or crime scenes.; Testify in court about investigative or analytical methods or findings.; Use chemicals or other substances to examine latent fingerprint evidence and compare developed prints to those of known persons in databases.; Measure and sketch crime scenes to document evidence.; Visit morgues, examine scenes of crimes, or contact other sources to obtain evidence or information to be used in investigations.; Train new technicians or other personnel on forensic science techniques.; Operate and maintain laboratory equipment and apparatus.; Collect impressions of dust from surfaces to obtain and identify fingerprints.; Examine and analyze blood stain patterns at crime scenes.; Analyze gunshot residue and bullet paths to determine how shootings occurred.; Confer with ballistics, fingerprinting, handwriting, documents, electronics, medical, chemical, or metallurgical experts concerning evidence and its interpretation.; Prepare solutions, reagents, or sample formulations needed for laboratory work.; Examine footwear, tire tracks, or other types of impressions."
